,station,chemical,mean_DEHM,mean_OBS,std_DEHM,std_OBS,MB,RMSE,NMB,corr
0,Villum,SO2,0.1475337837837838,0.06027533783783784,0.31291036657053184,0.13770922730038698,0.08725844594594594,0.25145403171865743,-0.4009800430312299,0.7108461175757426
1,Villum,SO4,0.07892920353982301,0.12008318584070796,0.06578965096200111,0.1339221481035989,-0.04115398230088496,0.11164203224069265,-0.16450652027667956,0.6522261606564395
2,Villum,NH4,0.03546296296296297,0.03366402116402117,0.023406008221191415,0.03436877238202102,0.0017989417989417993,0.02627510137717745,0.25017463127438255,0.6476023415169214
3,Villum,NO3,0.03809952606635072,0.015066350710900475,0.020025683739989,0.01090112196713736,0.023033175355450238,0.030381539044162048,0.8681489639451869,0.29168646211035354
4,Spitzbergen,SO2,0.18724503311258275,0.08602781456953644,0.3090268375342013,0.12941203980906016,0.10121721854304636,0.2846948895439648,-0.2080300654759489,0.5180913887196428
5,Spitzbergen,SO4,0.10860766182298548,0.10850726552179657,0.08222266121887992,0.099922791925343,0.00010039630118890248,0.08072464081928707,0.1266671133750871,0.6224911794258494
6,Spitzbergen,NH4,0.042921017402945114,0.058095046854082996,0.029434708451341822,0.09477923515145459,-0.015174029451137886,0.09234564167741714,0.15101133774140024,0.2781632341341027
7,Spitzbergen,NO3,0.03990080428954424,0.05863672922252011,0.02452996907317933,0.10667140641179519,-0.01873592493297587,0.10984878102049658,0.15440125476313762,0.05059692629815838
8,Alert,SO2,,,,,,,,
9,Alert,SO4,0.08814462081128747,0.15126984126984128,0.07462558087648304,0.13501339481712676,-0.06312522045855379,0.11036548229650285,-0.36114966350987854,0.7742504408686609
10,Alert,NH4,0.03674040219378428,0.039394881170018284,0.022397731714266806,0.0335361058304762,-0.0026544789762340043,0.025647875708065575,0.13005364333892855,0.649393581883394
11,Alert,NO3,0.03999115044247788,0.013614159292035398,0.021190787602339268,0.011609111978544192,0.02637699115044248,0.0326813253487167,1.0709139610134955,0.42986228238204416
